ntcse,uunn,amt,direccion,wgsy,wgsx
E420245,HUANUCO,A4259,LA PUNTA carretera a PANAO CA - CARRETERA LA PUNTA carretera a PANAO,-9.875551014,-76.02944798
E420249,HUANUCO,A4260,TULLCA CA - CARRETERA CARRETERA CENTRAL A TINGO MARIA,-9.776496003,-76.08918077
E420250,HUANUCO,A4260,TULLCA CA - CARRETERA CARRETERA CENTRAL A TINGO MARIA,-9.772953714,-76.08696048
E420255,HUANUCO,A4260,CHINCHINGA CA - CARRETERA CARRETERA  A PILLAO,-9.784428754,-76.04309748
E420256,HUANUCO,A4260,PILLAO  lote  26 CL - CALLE PILLAO  lote  26,-9.79739549,-75.99525537
E420257,HUANUCO,A4260,PILLAO  lote  40  TRANCA CL - CALLE PILLAO  lote  40  TRANCA,-9.794380819,-75.99692703
E420179,HUANUCO,A4254,CO - CONJUNTO HABITACIONAL TERRAZAS DE LLICUA AV - AVENIDA AV.10 DE AGOSTO S/N,-9.930109803,-76.2330629
E420320,HUANUCO,A4257,BO - BARRIO HUARACALLA CL - CALLE CARRETERA CENTRAL  A  LIMA,-10.17263102,-76.18972894
E420321,HUANUCO,A4257,BO - BARRIO CHACAPAMPA CA - CARRETERA CARRETERA CENTRAL A LIMA,-10.1775789,-76.18454998
E420322,HUANUCO,A4257,BO - BARRIO HUAYLLA CA - CARRETERA CARRETERA ANTIGUA,-10.14940399,-76.18819004
E420056,HUANUCO,A4251,AMARILIS CL - CALLE SANTA ROSA  C-2       Paucarbamba,-9.940913675,-76.24161811
E420135,HUANUCO,A4251,PAUCARBAMBILLA CA - CARRETERA COLISEO CERRADO,-9.939011025,-76.24338864
E420007,HUANUCO,A4256,CIUDAD HUANUCO JR - JIRÓN HUALLAYCO C-2,-9.935618555,-76.24804064
E420008,HUANUCO,A4256,CIUDAD HUANUCO JR - JIRÓN ABTAO C-1 197,-9.934829028,-76.24624405
E420009,HUANUCO,A4256,CIUDAD HUANUCO JR - JIRÓN AYANCOCHA  C-7,-9.936344875,-76.24492824
E420275,HUANUCO,A4254,CO - CONJUNTO HABITACIONAL HERMILLO VALDIZAN CA - CARRETERA SIN NOMBRE,-9.922581049,-76.23087605
E420277,HUANUCO,A4254,UR -  URBANIZACIÓN SANTA ELENA CL - CALLE SIN NOMBRE,-9.920122731,-76.2321996
E420285,HUANUCO,A4254,UR -  URBANIZACIÓN LOS PORTALES CL - CALLE LOS PORTALES,-9.91221583,-76.22662499
E420047,HUANUCO,A4251,PAUCARBAMBA JR - JIRÓN MICAELA BASTIDAS 329,-9.946436886,-76.24667935
E420053,HUANUCO,A4251,PAUCARBAMBA CL - CALLE JOSE CARLOS MARIATEGUI C-2,-9.943028326,-76.24081994
E420058,HUANUCO,A4251,UR -  URBANIZACIÓN PAUCARBAMBILLA CL - CALLE FONAVI I,-9.938163055,-76.2435203
E420059,HUANUCO,A4251,AMARILIS JR - JIRÓN Girasoles Cdra. 07,-9.940137149,-76.24441414
E420080,HUANUCO,A4251,CU - CIUDAD UNIVERSITARIA UNHEVAL AV - AVENIDA UNIVERSITARIA,-9.950510673,-76.24949508
E420117,HUANUCO,A4251,AMARILIS CL - CALLE SIN NOMBRE,-9.939451613,-76.24143803
E420124,HUANUCO,A4251,CU - CIUDAD UNIVERSITARIA UNHEVAL AV - AVENIDA UNIVERSITARIA,-9.949474803,-76.24953366
E420004,HUANUCO,A4256,CO - CONJUNTO HABITACIONAL CIUDAD HUANUCO JR - JIRÓN AYACUCHO  C-04,-9.930195567,-76.24530163
E420017,HUANUCO,A4253,CO - CONJUNTO HABITACIONAL CIUDAD HUANUCO CL - CALLE ESQ. SAN MARTIN  Y  ALAMEDA,-9.921928177,-76.24055445
E420033,HUANUCO,A4252,CD - CIUDADELA CIUDAD HUANUCO CL - CALLE ESQ. Jr. INDEPENDENCIA  Y  Jr. PROGRESO,-9.923061463,-76.24461871
